CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
0.01538,90.0,3.75,0.0,0.394,7.454,34.2,6.3361,3,244,15.9,386.34,3.11
4.66883,0.0,18.1,0.0,0.713,5.976,87.9,2.5806,24,666,20.2,10.48,19.01
9.59571,0.0,18.1,0.0,0.693,6.404,100.0,1.639,24,666,20.2,376.11,20.31
0.05735,0.0,4.49,0.0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53
0.03113,0.0,4.39,0.0,0.442,6.014,48.5,8.0136,3,352,18.8,385.64,10.53
0.0536,21.0,5.64,0.0,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28
4.83567,0.0,18.1,0.0,0.583,5.905,53.2,3.1523,24,666,20.2,388.22,11.45
73.5341,0.0,18.1,0.0,0.679,5.957,100.0,1.8026,24,666,20.2,16.45,20.62
1.23247,0.0,8.14,0.0,0.538,6.142,91.7,3.9769,4,307,21.0,396.9,18.72
0.57529,0.0,6.2,0.0,0.507,8.337,73.3,3.8384,8,307,17.4,385.91,2.47
0.12932,0.0,13.92,0.0,0.437,6.678,31.1,5.9604,4,289,16.0,396.9,6.27
0.08221,22.0,5.86,0.0,0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53
0.0795,60.0,1.69,0.0,0.411,6.579,35.9,10.7103,4,411,18.3,370.78,5.49
0.01778,95.0,1.47,0.0,0.403,7.135,13.9,7.6534,3,402,17.0,384.3,4.45
4.55587,0.0,18.1,0.0,0.718,3.561,87.9,1.6132,24,666,20.2,354.7,7.12
5.58107,0.0,18.1,0.0,0.713,6.436,87.9,2.3158,24,666,20.2,100.19,16.22
5.82401,0.0,18.1,0.0,0.532,6.242,64.7,3.4242,24,666,20.2,396.9,10.74
0.65665,20.0,3.97,0.0,0.647,6.842,100.0,2.0107,5,264,13.0,391.93,6.9
0.22188,20.0,6.96,1.0,0.464,7.691,51.8,4.3665,3,223,18.6,390.77,6.58
3.32105,0.0,19.58,1.0,0.871,5.403,100.0,1.3216,5,403,14.7,396.9,26.82
0.2909,0.0,21.89,0.0,0.624,6.174,93.6,1.6119,4,437,21.2,388.08,24.16
0.88125,0.0,21.89,0.0,0.624,5.637,94.7,1.9799,4,437,21.2,396.9,18.34
0.95577,0.0,8.14,0.0,0.538,6.047,88.8,4.4534,4,307,21.0,306.38,17.28
0.12757,30.0,4.93,0.0,0.428,6.393,7.8,7.0355,6,300,16.6,374.71,5.19
0.01951,17.5,1.38,0.0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05
15.8603,0.0,18.1,0.0,0.679,5.896,95.4,1.9096,24,666,20.2,7.68,24.39
0.26169,0.0,9.9,0.0,0.544,6.023,90.4,2.834,4,304,18.4,396.3,11.72
0.03427,0.0,5.19,0.0,0.515,5.869,46.3,5.2311,5,224,20.2,396.9,9.8
0.52693,0.0,6.2,0.0,0.504,8.725,83.0,2.8944,8,307,17.4,382.0,4.63
0.80271,0.0,8.14,0.0,0.538,5.456,36.6,3.7965,4,307,21.0,288.99,11.69
0.02875,28.0,15.04,0.0,0.464,6.211,28.9,3.6659,4,270,18.2,396.33,6.21
10.233,0.0,18.1,0.0,0.614,6.185,96.7,2.1705,24,666,20.2,379.7,18.03
0.10153,0.0,12.83,0.0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97
0.01501,80.0,2.01,0.0,0.435,6.635,29.7,8.344,4,280,17.0,390.94,5.99
0.09849,0.0,25.65,0.0,0.581,5.879,95.8,2.0063,2,188,19.1,379.38,17.58
0.6147,0.0,6.2,0.0,0.507,6.618,80.8,3.2721,8,307,17.4,396.9,7.6
0.06888,0.0,2.46,0.0,0.488,6.144,62.2,2.5979,3,193,17.8,396.9,9.45
